gene_symbol,hgnc_id,gene_score,conclusion_code,best_disease_score,best_disease_name,best_omim_id,best_orpha_id,best_mondo_id,best_disease_source_dbs,best_disease_match_status,mapping_basis,second_best_disease_score,score_gap_to_second_best,disease_profile_count,input_hpo_count,scoring_hpo_count,matched_hpo_count,unmatched_hpo_count,mean_input_hpo_ic,candidate_variant_count_in_gene,gene_sources,best_term_evidence_summary,db_versions,warning,sample_id,gene_rank
YME1L1,HGNC:12843,0.601211,PHENOTYPE_MATCH_MODERATE,0.601211,Optic atrophy 11,617302,,MONDO:0015011,OMIM,separate_omim_record,none,,,1,8,8,8,0,4.941108,5,annotated_gene,HP:0001112->HP:0000648:0.460;HP:0000572->HP:0000505:0.714;HP:0000648->HP:0000648:1.000;HP:0000587->HP:0000648:0.906;HP:0001103->HP:0000648:0.554;HP:0001117->HP:0000646:0.480;HP:0032122->HP:0000646:0.464;HP:0012795->HP:0000648:0.941,HPO:2026-02-16;HPOA:2026-02-16;MONDO:2026-05-05;OMIM:2025-04-11,,hpo_list,21
TBC1D32,HGNC:21485,0.597732,PHENOTYPE_MATCH_MODERATE,0.597732,Retinitis pigmentosa 100,621280,,MONDO:0979574,OMIM,separate_omim_record,none,0.490616,0.107116,3,8,8,8,0,4.941108,5,annotated_gene,HP:0001112->HP:0000543:0.419;HP:0000572->HP:0007663:0.636;HP:0000648->HP:0000543:0.754;HP:0000587->HP:0000543:0.758;HP:0001103->HP:0040049:0.789;HP:0001117->HP:0007663:0.554;HP:0032122->HP:0007663:0.534;HP:0012795->HP:0000543:0.791,HPO:2026-02-16;HPOA:2026-02-16;MONDO:2026-05-05;OMIM:2025-04-11,,hpo_list,22
ERCC6,HGNC:3438,0.593080,PHENOTYPE_MATCH_MODERATE,0.593080,COFS syndrome,,1466,MONDO:0008926,ORPHA,separate_orpha_record,none,0.589779,0.003301,9,8,8,8,0,4.941108,4,annotated_gene,HP:0001112->HP:0000648:0.460;HP:0000572->HP:0000505:0.714;HP:0000648->HP:0000648:1.000;HP:0000587->HP:0000648:0.906;HP:0001103->HP:0007703:0.623;HP:0001117->HP:0000505:0.444;HP:0032122->HP:0000505:0.427;HP:0012795->HP:0000648:0.941,HPO:2026-02-16;HPOA:2026-02-16;MONDO:2026-05-05;OMIM:2025-04-11,,hpo_list,23
PIEZO2,HGNC:26270,0.593080,PHENOTYPE_MATCH_MODERATE,0.593080,"Arthrogryposis, distal, type 5",108145,1154,MONDO:0007158,OMIM;ORPHA,matched_same_disease,MONDO_equivalentTo,0.285292,0.307788,4,8,8,8,0,4.941108,13,annotated_gene,HP:0001112->HP:0000648:0.460;HP:0000572->HP:0000505:0.714;HP:0000648->HP:0000648:1.000;HP:0000587->HP:0000648:0.906;HP:0001103->HP:0007703:0.623;HP:0001117->HP:0000505:0.444;HP:0032122->HP:0000505:0.427;HP:0012795->HP:0000648:0.941,HPO:2026-02-16;HPOA:2026-02-16;MONDO:2026-05-05;OMIM:2025-04-11,,hpo_list,24
SUMF1,HGNC:20376,0.593080,PHENOTYPE_MATCH_MODERATE,0.593080,Multiple sulfatase deficiency,272200,585,MONDO:0010088,OMIM;ORPHA,matched_same_disease,MONDO_equivalentTo,,,1,8,8,8,0,4.941108,7,annotated_gene,HP:0001112->HP:0000648:0.460;HP:0000572->HP:0000505:0.714;HP:0000648->HP:0000648:1.000;HP:0000587->HP:0000648:0.906;HP:0001103->HP:0007703:0.623;HP:0001117->HP:0000505:0.444;HP:0032122->HP:0000505:0.427;HP:0012795->HP:0000648:0.941,HPO:2026-02-16;HPOA:2026-02-16;MONDO:2026-05-05;OMIM:2025-04-11,,hpo_list,25
LARGE1,HGNC:6511,0.592298,PHENOTYPE_MATCH_MODERATE,0.592298,"Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 1",236670,,MONDO:0009364,OMIM,separate_omim_record,none,0.390460,0.201838,5,8,8,8,0,4.941108,34,annotated_gene,HP:0001112->HP:0000648:0.460;HP:0000572->HP:0000618:0.541;HP:0000648->HP:0000648:1.000;HP:0000587->HP:0000648:0.906;HP:0001103->HP:0000541:0.570;HP:0001117->HP:0000618:0.497;HP:0032122->HP:0000618:0.481;HP:0012795->HP:0000648:0.941,HPO:2026-02-16;HPOA:2026-02-16;MONDO:2026-05-05;OMIM:2025-04-11,,hpo_list,26
SNX10,HGNC:14974,0.589366,PHENOTYPE_MATCH_MODERATE,0.589366,"Osteopetrosis, autosomal recessive 8",615085,,MONDO:0014040,OMIM,separate_omim_record,none,0.450280,0.139086,2,8,8,8,0,4.941108,5,annotated_gene,HP:0001112->HP:0000648:0.460;HP:0000572->HP:0000572:1.000;HP:0000648->HP:0000648:1.000;HP:0000587->HP:0000648:0.906;HP:0001103->HP:0000648:0.554;HP:0001117->HP:0000572:0.377;HP:0032122->HP:0000572:0.364;HP:0012795->HP:0000648:0.941,HPO:2026-02-16;HPOA:2026-02-16;MONDO:2026-05-05;OMIM:2025-04-11,,hpo_list,27
YAP1,HGNC:16262,0.588127,PHENOTYPE_MATCH_MODERATE,0.588127,"Coloboma, ocular, with or without hearing impairment, cleft lip/palate, and/or impaired intellectual development",120433,1473,MONDO:0007355,OMIM;ORPHA,matched_same_disease,MONDO_equivalentTo,,,1,8,8,8,0,4.941108,5,annotated_gene,HP:0001112->HP:0000648:0.460;HP:0000572->HP:0000505:0.714;HP:0000648->HP:0000648:1.000;HP:0000587->HP:0000648:0.906;HP:0001103->HP:0000541:0.570;HP:0001117->HP:0000505:0.444;HP:0032122->HP:0000505:0.427;HP:0012795->HP:0000648:0.941,HPO:2026-02-16;HPOA:2026-02-16;MONDO:2026-05-05;OMIM:2025-04-11,,hpo_list,28
CRPPA,HGNC:37276,0.586576,PHENOTYPE_MATCH_MODERATE,0.586576,Muscle-eye-brain disease,,588,MONDO:0018939,ORPHA,separate_orpha_record,none,0.390460,0.196116,5,8,8,8,0,4.941108,5,annotated_gene,HP:0001112->HP:0000648:0.460;HP:0000572->HP:0000505:0.714;HP:0000648->HP:0000648:1.000;HP:0000587->HP:0000648:0.906;HP:0001103->HP:0000648:0.554;HP:0001117->HP:0000505:0.444;HP:0032122->HP:0000505:0.427;HP:0012795->HP:0000648:0.941,HPO:2026-02-16;HPOA:2026-02-16;MONDO:2026-05-05;OMIM:2025-04-11,,hpo_list,29
RERE,HGNC:9965,0.586576,PHENOTYPE_MATCH_MODERATE,0.586576,1p36 deletion syndrome,,1606,MONDO:0011929,ORPHA,separate_orpha_record,none,0.540456,0.046121,2,8,8,8,0,4.941108,4,annotated_gene,HP:0001112->HP:0000648:0.460;HP:0000572->HP:0000505:0.714;HP:0000648->HP:0000648:1.000;HP:0000587->HP:0000648:0.906;HP:0001103->HP:0000648:0.554;HP:0001117->HP:0000505:0.444;HP:0032122->HP:0000505:0.427;HP:0012795->HP:0000648:0.941,HPO:2026-02-16;HPOA:2026-02-16;MONDO:2026-05-05;OMIM:2025-04-11,,hpo_list,30
