gene,in_network,disease_score,tissue_score,topology_score,ppi_final,score_mode,score_weight_sum,note,gene_in_d,gene_d_evidence_score,gene_in_t,gene_t_weight,mapped_tissues_json,d_gene_count,t_gene_count
PARP1,True,0.8,0.6666666666666666,0.9877227536806279,0.786930688420157,FULL_ANCHOR,1.0,OK,False,0.0,True,1,"[""eye"", ""nerve"", ""retina""]",114,11370
RPGRIP1L,True,0.8,0.8,0.7470500124339117,0.786762503108478,FULL_ANCHOR,1.0,OK,False,0.0,False,0,"[""eye"", ""nerve"", ""retina""]",114,11370
DHX15,True,0.32,1.0,0.9627340675940017,0.7866835168985005,FULL_ANCHOR,1.0,OK,False,0.0,True,3,"[""eye"", ""nerve"", ""retina""]",114,11370
SQSTM1,True,0.8,0.6666666666666666,0.9821662336309359,0.785541558407734,FULL_ANCHOR,1.0,OK,False,0.0,True,1,"[""eye"", ""nerve"", ""retina""]",114,11370
MAPT,True,0.8,0.6666666666666666,0.9794384410847516,0.784859610271188,FULL_ANCHOR,1.0,OK,False,0.0,True,1,"[""eye"", ""nerve"", ""retina""]",114,11370
ERBB4,True,0.6799999999999999,0.8,0.8797260158425154,0.7839315039606289,FULL_ANCHOR,1.0,OK,False,0.0,False,0,"[""eye"", ""nerve"", ""retina""]",114,11370
ABL1,True,0.8,0.6666666666666666,0.9755417289920576,0.7838854322480144,FULL_ANCHOR,1.0,OK,False,0.0,True,1,"[""eye"", ""nerve"", ""retina""]",114,11370
CANX,True,0.8,0.6666666666666666,0.9686386916694192,0.7821596729173548,FULL_ANCHOR,1.0,OK,False,0.0,True,1,"[""eye"", ""nerve"", ""retina""]",114,11370
H6PD,True,0.8,0.6666666666666666,0.9646311629060573,0.7811577907265144,FULL_ANCHOR,1.0,OK,False,0.0,True,1,"[""eye"", ""nerve"", ""retina""]",114,11370
ATXN1,True,1.0,0.6666666666666666,0.7218981716826527,0.7804745429206632,FULL_ANCHOR,1.0,OK,True,2.1,True,1,"[""eye"", ""nerve"", ""retina""]",114,11370
